Title,Rating,Cost,Links
Feipu USB C to 3.5mm Headphone,4.2,$13.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzcyMzA5NTg1MTU2Njk6MTY5ODg0OTk5OTpzcF9hdGY6MjAwMDg0Mjg0NzI3NTQxOjowOjo&url=%2FHeadphone-Charger-Adapter-Charging-Compatible%2Fdp%2FB09CM67CQ3%2Fref%3Dsr_1_2_sspa%3Fc%3Dts%26keywords%3DElectronics%2BAccessories%2B%2526%2BSupplies%26qid%3D1698849999%26s%3Delectronics%26sr%3D1-2-spons%26ts_id%3D281407%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
FYY Travel Cable Organizer,4.5,$9.85,https://www.amazon.com/FYY-Electronic-Organizer-Accessories-Waterproof/dp/B0924H4XB9/ref=sr_1_3?c=ts&keywords=Electronics+Accessories+%26+Supplies&qid=1698849999&s=electronics&sr=1-3&ts_id=281407
Car Charger 66W Super Fast,4.5,$8.99,https://www.amazon.com/Voltmeter-Universal-Cigarette-Compatible-BK351/dp/B0BQHHYCSC/ref=sr_1_4?c=ts&keywords=Electronics+Accessories+%26+Supplies&qid=1698849999&s=electronics&sr=1-4&ts_id=281407
[2-Pack] 20W USB C Fast,4.5,$10.66,https://www.amazon.com/2-Pack-Charger-Listed-Delivery-Adapter/dp/B094N5T14N/ref=sr_1_5?c=ts&keywords=Electronics+Accessories+%26+Supplies&qid=1698849999&s=electronics&sr=1-5&ts_id=281407
MASETECH iPhone 14 Pro Max,4.5,$14.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTE4MDUzOTQ5NDY2NjY5OjE2OTg4NDk5OTk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA4NzMyNTAxNDk5ODo6MDo6&url=%2FProtector-Tempered-Compatible-mase-home%2Fdp%2FB0B4K3DH5D%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fc%3Dts%26content-id%3Damzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%253Aamzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%26cv_ct_cx%3DElectronics%2BAccessories%2B%2526%2BSupplies%26keywords%3DElectronics%2BAccessories%2B%2526%2BSupplies%26pd_rd_i%3DB0B4K3DH5D%26pd_rd_r%3D804d4ed0-33d1-486a-8243-25092ab70a1f%26pd_rd_w%3D3kAcF%26pd_rd_wg%3DKCIPH%26pf_rd_p%3De70ecb73-7134-44cb-b33c-f20cab138e98%26pf_rd_r%3D7H4T8P603817H195G4BW%26qid%3D1698849999%26s%3Delectronics%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26ts_id%3D281407%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
[3 Pack] USB-C Wall,4.6,$16.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTE4MDUzOTQ5NDY2NjY5OjE2OTg4NDk5OTk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDE3NTQ3MDA2MDM5ODo6MTo6&url=%2FCharger-Upgraded-Certified-Durable-AirPods%2Fdp%2FB09NY3RSJ2%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fc%3Dts%26content-id%3Damzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%253Aamzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%26cv_ct_cx%3DElectronics%2BAccessories%2B%2526%2BSupplies%26keywords%3DElectronics%2BAccessories%2B%2526%2BSupplies%26pd_rd_i%3DB09NY3RSJ2%26pd_rd_r%3D804d4ed0-33d1-486a-8243-25092ab70a1f%26pd_rd_w%3D3kAcF%26pd_rd_wg%3DKCIPH%26pf_rd_p%3De70ecb73-7134-44cb-b33c-f20cab138e98%26pf_rd_r%3D7H4T8P603817H195G4BW%26qid%3D1698849999%26s%3Delectronics%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26ts_id%3D281407%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Power,4.8,$21.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTE4MDUzOTQ5NDY2NjY5OjE2OTg4NDk5OTk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA2MDU5MTU1NDQ4MTo6Mjo6&url=%2FNuetsa-Protector-Outlets-Extension-Essentials%2Fdp%2FB08P5HB95P%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fc%3Dts%26content-id%3Damzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%253Aamzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%26cv_ct_cx%3DElectronics%2BAccessories%2B%2526%2BSupplies%26keywords%3DElectronics%2BAccessories%2B%2526%2BSupplies%26pd_rd_i%3DB08P5HB95P%26pd_rd_r%3D804d4ed0-33d1-486a-8243-25092ab70a1f%26pd_rd_w%3D3kAcF%26pd_rd_wg%3DKCIPH%26pf_rd_p%3De70ecb73-7134-44cb-b33c-f20cab138e98%26pf_rd_r%3D7H4T8P603817H195G4BW%26qid%3D1698849999%26s%3Delectronics%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26ts_id%3D281407%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Power Strip,4.8,$28.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTE4MDUzOTQ5NDY2NjY5OjE2OTg4NDk5OTk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAyNTg2OTk2NTQwMjo6Mzo6&url=%2FProtector-Extension-Extender-Overload-Protection%2Fdp%2FB09QHHTV36%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fc%3Dts%26content-id%3Damzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%253Aamzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%26cv_ct_cx%3DElectronics%2BAccessories%2B%2526%2BSupplies%26keywords%3DElectronics%2BAccessories%2B%2526%2BSupplies%26pd_rd_i%3DB09QHHTV36%26pd_rd_r%3D804d4ed0-33d1-486a-8243-25092ab70a1f%26pd_rd_w%3D3kAcF%26pd_rd_wg%3DKCIPH%26pf_rd_p%3De70ecb73-7134-44cb-b33c-f20cab138e98%26pf_rd_r%3D7H4T8P603817H195G4BW%26qid%3D1698849999%26s%3Delectronics%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26ts_id%3D281407%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Kids Headphones Bulk 5,4.6,$36.97,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTE4MDUzOTQ5NDY2NjY5OjE2OTg4NDk5OTk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxMDcyNTE4MDUwMjo6NDo6&url=%2FClassroom-Headphones-Varieties-Earphones-Airplane%2Fdp%2FB088NHNW8B%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fc%3Dts%26content-id%3Damzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%253Aamzn1.sym.e70ecb73-7134-44cb-b33c-f20cab138e98%26cv_ct_cx%3DElectronics%2BAccessories%2B%2526%2BSupplies%26keywords%3DElectronics%2BAccessories%2B%2526%2BSupplies%26pd_rd_i%3DB088NHNW8B%26pd_rd_r%3D804d4ed0-33d1-486a-8243-25092ab70a1f%26pd_rd_w%3D3kAcF%26pd_rd_wg%3DKCIPH%26pf_rd_p%3De70ecb73-7134-44cb-b33c-f20cab138e98%26pf_rd_r%3D7H4T8P603817H195G4BW%26qid%3D1698849999%26s%3Delectronics%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26ts_id%3D281407%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
50PC Cable Ties Reusable -,,$13.99,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RENuZbOAnttI6vAKdmn2AksAAAGLi1nLBwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICCtSIKd/https://www.amazon.com/50PC-Cable-Ties-Reusable-Multi-Purpose/dp/B0CHBF89G1/ref=sxin_17_sbv_search_btf?c=ts&content-id=amzn1.sym.5795aee5-71f0-4369-b632-e8c78407f2cf%3Aamzn1.sym.5795aee5-71f0-4369-b632-e8c78407f2cf&cv_ct_cx=Electronics+Accessories+%26+Supplies&keywords=Electronics+Accessories+%26+Supplies&pd_rd_i=B0CHBF89G1&pd_rd_r=804d4ed0-33d1-486a-8243-25092ab70a1f&pd_rd_w=ILWgx&pd_rd_wg=KCIPH&pf_rd_p=5795aee5-71f0-4369-b632-e8c78407f2cf&pf_rd_r=7H4T8P603817H195G4BW&qid=1698849999&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776&ts_id=281407
10-in-1 Laptop Keyboard Cleaner,4.5,$11.99,https://www.amazon.com/Keyboard-Cleaner-Cleaning-Electronics-MacBook/dp/B0BRXZV6R2/ref=sr_1_6?c=ts&keywords=Electronics+Accessories+%26+Supplies&qid=1698849999&s=electronics&sr=1-6&ts_id=281407
[Apple MFi Certified] iPhone,4.4,$11.97,https://www.amazon.com/Certified-Lightning-Charging-Compatible-8-multicolor/dp/B0C4F71FWV/ref=sr_1_7?c=ts&keywords=Electronics+Accessories+%26+Supplies&qid=1698849999&s=electronics&sr=1-7&ts_id=281407
BESHON Power Strip Surge,4.8,$15.99,https://www.amazon.com/Protector-Extension-Outlets-Extender-Compact/dp/B09Y5HT6HR/ref=sr_1_8?c=ts&keywords=Electronics+Accessories+%26+Supplies&qid=1698849999&s=electronics&sr=1-8&ts_id=281407
